year,hires,terminations,net_change,change_percent
2000,220,31,189,14.0909
2001,1122,203,919,18.0927
2002,1067,173,894,16.2137
2003,1142,193,949,16.9002
2004,1135,197,938,17.3568
2005,1097,174,923,15.8614
2006,1118,178,940,15.9213
2007,1090,145,945,13.3028
2008,1108,141,967,12.7256
2009,1140,147,993,12.8947
2010,1099,125,974,11.3740
2011,1101,112,989,10.1726
2012,1103,106,997,9.6102
2013,1105,94,1011,8.5068
2014,1053,85,968,8.0722
2015,1059,72,987,6.7989
2016,1122,63,1059,5.6150
2017,1091,53,1038,4.8579
2018,1147,44,1103,3.8361
2019,1083,47,1036,4.3398
2020,1012,23,989,2.2727
